Model,Accuracy,ROC-AUC,Accuracy (%),ROC-AUC (%)
Logistic Regression,0.8076666666666666,0.7076355036089734,80.76666666666667,70.76355036089734
Decision Tree,0.8171666666666667,0.7423241082064694,81.71666666666667,74.23241082064695
